阈值,准确率,F1,灵敏度,特异度
0.10,0.7271,0.4250,0.1625,0.0915
0.15,0.5949,0.5900,0.1764,0.1036
0.20,0.5000,0.7004,0.1900,0.1173
0.25,0.4305,0.7802,0.2054,0.1349
0.30,0.3932,0.8356,0.2275,0.1600
0.35,0.3576,0.8719,0.2411,0.1819
0.40,0.3356,0.8926,0.2500,0.1992
0.45,0.3102,0.9065,0.2497,0.2089
0.50,0.2898,0.9138,0.2443,0.2111
0.55,0.2797,0.9175,0.2416,0.2126
0.60,0.2746,0.9213,0.2427,0.2174
0.65,0.2678,0.9252,0.2427,0.2219
0.70,0.2661,0.9298,0.2478,0.2319
0.75,0.0000,0.9996,0.0000,0.0000
0.80,0.0000,1.0000,0.0000,0.0000
0.85,0.0000,1.0000,0.0000,0.0000
0.90,0.0000,1.0000,0.0000,0.0000
